EmotionCategory,Probability,FrameID
Adoration,0.004669057,frame00161
Aesthetic Appreciation,0.1212135,frame00161
Amusement,0.000326942,frame00161
Anxiety,0.0002968839,frame00161
Awe,0.1635553,frame00161
Boredom,0.03492448,frame00161
Confusion,0.00246608,frame00161
Craving,8.427182e-06,frame00161
Disgust,0.02211203,frame00161
Empathic Pain,0.0002072385,frame00161
Entrancement,0.0001507479,frame00161
Excitement,0.0002727413,frame00161
Fear,0.01688835,frame00161
Horror,0.1171686,frame00161
Interest,0.007918108,frame00161
Joy,0.001026446,frame00161
Romance,0.1638272,frame00161
Sadness,0.3396139,frame00161
Sexual Desire,0.003016219,frame00161
Surprise,0.0003377505,frame00161
Adoration,0.002700065,frame00169
Aesthetic Appreciation,0.108971,frame00169
Amusement,0.0002957146,frame00169
Anxiety,0.0002864719,frame00169
Awe,0.1422385,frame00169
Boredom,0.03828318,frame00169
Confusion,0.001657836,frame00169
Craving,1.284737e-05,frame00169
Disgust,0.01432907,frame00169
Empathic Pain,0.0002010284,frame00169
Entrancement,0.0001242007,frame00169
Excitement,0.0002102458,frame00169
Fear,0.009347036,frame00169
Horror,0.06578141,frame00169
Interest,0.006337858,frame00169
Joy,0.001320803,frame00169
Romance,0.2061929,frame00169
Sadness,0.3974834,frame00169
Sexual Desire,0.003888145,frame00169
Surprise,0.0003384526,frame00169
Adoration,0.004868215,frame00177
Aesthetic Appreciation,0.09613311,frame00177
Amusement,0.0002602042,frame00177
Anxiety,0.0003042106,frame00177
Awe,0.1834108,frame00177
Boredom,0.01883222,frame00177
Confusion,0.001573191,frame00177
Craving,5.640653e-06,frame00177
Disgust,0.009819594,frame00177
Empathic Pain,0.0002732385,frame00177
Entrancement,0.0001057402,frame00177
Excitement,0.0002780151,frame00177
Fear,0.01437261,frame00177
Horror,0.1170875,frame00177
Interest,0.00394703,frame00177
Joy,0.001070373,frame00177
Romance,0.1827264,frame00177
Sadness,0.3622439,frame00177
Sexual Desire,0.002439159,frame00177
Surprise,0.0002488558,frame00177
Adoration,0.004328602,frame00185
Aesthetic Appreciation,0.0865358,frame00185
Amusement,0.0002008209,frame00185
Anxiety,0.0001966564,frame00185
Awe,0.1764697,frame00185
Boredom,0.02329927,frame00185
Confusion,0.001523992,frame00185
Craving,4.504017e-06,frame00185
Disgust,0.009507756,frame00185
Empathic Pain,0.0002061376,frame00185
Entrancement,6.185626e-05,frame00185
Excitement,0.0002433044,frame00185
Fear,0.01288345,frame00185
Horror,0.1022789,frame00185
Interest,0.004271883,frame00185
Joy,0.002824432,frame00185
Romance,0.1748067,frame00185
Sadness,0.3976073,frame00185
Sexual Desire,0.002528938,frame00185
Surprise,0.0002200515,frame00185
Adoration,0.007198678,frame00193
Aesthetic Appreciation,0.08713339,frame00193
Amusement,0.0001525025,frame00193
Anxiety,0.00017057,frame00193
Awe,0.2129027,frame00193
Boredom,0.02499775,frame00193
Confusion,0.0018156,frame00193
Craving,3.25772e-06,frame00193
Disgust,0.01298219,frame00193
Empathic Pain,0.0001584055,frame00193
Entrancement,5.497864e-05,frame00193
Excitement,0.0002292029,frame00193
Fear,0.0145036,frame00193
Horror,0.13832,frame00193
Interest,0.006011854,frame00193
Joy,0.004479769,frame00193
Romance,0.1897433,frame00193
Sadness,0.2968937,frame00193
Sexual Desire,0.002064754,frame00193
Surprise,0.0001838543,frame00193
Adoration,0.008195613,frame00201
Aesthetic Appreciation,0.06649357,frame00201
Amusement,0.0001374925,frame00201
Anxiety,0.0001883483,frame00201
Awe,0.1822667,frame00201
Boredom,0.01767345,frame00201
Confusion,0.001689541,frame00201
Craving,2.892481e-06,frame00201
Disgust,0.00982498,frame00201
Empathic Pain,0.0001506696,frame00201
Entrancement,5.857705e-05,frame00201
Excitement,0.0002754937,frame00201
Fear,0.01323755,frame00201
Horror,0.1457026,frame00201
Interest,0.003949316,frame00201
Joy,0.003118592,frame00201
Romance,0.261803,frame00201
Sadness,0.2828501,frame00201
Sexual Desire,0.002248593,frame00201
Surprise,0.0001328813,frame00201
Adoration,0.007815513,frame00209
Aesthetic Appreciation,0.05224609,frame00209
Amusement,0.0001093659,frame00209
Anxiety,0.000158253,frame00209
Awe,0.1825853,frame00209
Boredom,0.01853185,frame00209
Confusion,0.001523136,frame00209
Craving,2.761577e-06,frame00209
Disgust,0.007835397,frame00209
Empathic Pain,0.0001453036,frame00209
Entrancement,6.456599e-05,frame00209
Excitement,0.000231172,frame00209
Fear,0.01116364,frame00209
Horror,0.1262809,frame00209
Interest,0.0031375,frame00209
Joy,0.003110069,frame00209
Romance,0.3147185,frame00209
Sadness,0.267568,frame00209
Sexual Desire,0.002652215,frame00209
Surprise,0.0001204764,frame00209
Adoration,0.008528668,frame00217
Aesthetic Appreciation,0.06699613,frame00217
Amusement,0.0001172928,frame00217
Anxiety,0.000179584,frame00217
Awe,0.1849291,frame00217
Boredom,0.01828638,frame00217
Confusion,0.00142868,frame00217
Craving,2.931937e-06,frame00217
Disgust,0.008729765,frame00217
Empathic Pain,0.0001779002,frame00217
Entrancement,6.741756e-05,frame00217
Excitement,0.0002225604,frame00217
Fear,0.01307339,frame00217
Horror,0.1033309,frame00217
Interest,0.003010888,frame00217
Joy,0.003178599,frame00217
Romance,0.263942,frame00217
Sadness,0.3206679,frame00217
Sexual Desire,0.002997561,frame00217
Surprise,0.000132339,frame00217
Adoration,0.007995266,frame00225
Aesthetic Appreciation,0.07322748,frame00225
Amusement,0.0001139751,frame00225
Anxiety,0.0001911654,frame00225
Awe,0.1939321,frame00225
Boredom,0.02040085,frame00225
Confusion,0.001421223,frame00225
Craving,2.931269e-06,frame00225
Disgust,0.00762382,frame00225
Empathic Pain,0.0001770891,frame00225
Entrancement,7.328361e-05,frame00225
Excitement,0.0002238148,frame00225
Fear,0.01384218,frame00225
Horror,0.1102291,frame00225
Interest,0.002961767,frame00225
Joy,0.002881568,frame00225
Romance,0.2345397,frame00225
Sadness,0.3271391,frame00225
Sexual Desire,0.002892872,frame00225
Surprise,0.0001307071,frame00225
Adoration,0.006419393,frame00233
Aesthetic Appreciation,0.06745628,frame00233
Amusement,0.0001041273,frame00233
Anxiety,0.0001972944,frame00233
Awe,0.221458,frame00233
Boredom,0.02026217,frame00233
Confusion,0.00136725,frame00233
Craving,2.679569e-06,frame00233
Disgust,0.007196311,frame00233
Empathic Pain,0.0001674339,frame00233
Entrancement,7.825308e-05,frame00233
Excitement,0.0002266172,frame00233
Fear,0.01202854,frame00233
Horror,0.1180049,frame00233
Interest,0.003158075,frame00233
Joy,0.002763109,frame00233
Romance,0.2272345,frame00233
Sadness,0.3092549,frame00233
Sexual Desire,0.002485824,frame00233
Surprise,0.0001343736,frame00233
Adoration,0.007407571,frame00241
Aesthetic Appreciation,0.07364663,frame00241
Amusement,0.0001244551,frame00241
Anxiety,0.0002436747,frame00241
Awe,0.1879196,frame00241
Boredom,0.01857591,frame00241
Confusion,0.001674372,frame00241
Craving,3.344008e-06,frame00241
Disgust,0.00810764,frame00241
Empathic Pain,0.0001595706,frame00241
Entrancement,7.098306e-05,frame00241
Excitement,0.0003338575,frame00241
Fear,0.01574593,frame00241
Horror,0.1181842,frame00241
Interest,0.003694409,frame00241
Joy,0.00303641,frame00241
Romance,0.2288096,frame00241
Sadness,0.3300295,frame00241
Sexual Desire,0.002093863,frame00241
Surprise,0.0001384111,frame00241
Adoration,0.008820542,frame00249
Aesthetic Appreciation,0.07625587,frame00249
Amusement,0.0001822434,frame00249
Anxiety,0.0001675709,frame00249
Awe,0.1309365,frame00249
Boredom,0.02412043,frame00249
Confusion,0.002151933,frame00249
Craving,4.426067e-06,frame00249
Disgust,0.01252065,frame00249
Empathic Pain,0.0001914769,frame00249
Entrancement,5.816871e-05,frame00249
Excitement,0.0004921505,frame00249
Fear,0.0158932,frame00249
Horror,0.1310151,frame00249
Interest,0.004028814,frame00249
Joy,0.003414697,frame00249
Romance,0.3108901,frame00249
Sadness,0.2760179,frame00249
Sexual Desire,0.002644642,frame00249
Surprise,0.0001935602,frame00249
Adoration,0.00721408,frame00257
Aesthetic Appreciation,0.07526462,frame00257
Amusement,0.0001524421,frame00257
Anxiety,0.000132286,frame00257
Awe,0.1287898,frame00257
Boredom,0.02335065,frame00257
Confusion,0.002115442,frame00257
Craving,3.957317e-06,frame00257
Disgust,0.01676444,frame00257
Empathic Pain,0.0001606852,frame00257
Entrancement,4.740277e-05,frame00257
Excitement,0.0004945301,frame00257
Fear,0.01721343,frame00257
Horror,0.1257425,frame00257
Interest,0.004318886,frame00257
Joy,0.002664022,frame00257
Romance,0.251575,frame00257
Sadness,0.3416913,frame00257
Sexual Desire,0.002064969,frame00257
Surprise,0.0002395217,frame00257
Adoration,0.009843323,frame00265
Aesthetic Appreciation,0.05408924,frame00265
Amusement,0.0001481618,frame00265
Anxiety,0.0001594405,frame00265
Awe,0.1351952,frame00265
Boredom,0.0165731,frame00265
Confusion,0.001705481,frame00265
Craving,4.714008e-06,frame00265
Disgust,0.02031836,frame00265
Empathic Pain,0.0001174596,frame00265
Entrancement,5.633088e-05,frame00265
Excitement,0.0007076346,frame00265
Fear,0.02170951,frame00265
Horror,0.1394071,frame00265
Interest,0.005533471,frame00265
Joy,0.002343309,frame00265
Romance,0.2996574,frame00265
Sadness,0.2901123,frame00265
Sexual Desire,0.002096482,frame00265
Surprise,0.0002219526,frame00265
Adoration,0.009668826,frame00273
Aesthetic Appreciation,0.04712376,frame00273
Amusement,0.0001378028,frame00273
Anxiety,0.0001464617,frame00273
Awe,0.1217146,frame00273
Boredom,0.01231255,frame00273
Confusion,0.001524296,frame00273
Craving,5.749055e-06,frame00273
Disgust,0.01450922,frame00273
Empathic Pain,0.0001199563,frame00273
Entrancement,5.870718e-05,frame00273
Excitement,0.0007877781,frame00273
Fear,0.01752467,frame00273
Horror,0.1624822,frame00273
Interest,0.004380198,frame00273
Joy,0.001819178,frame00273
Romance,0.3414909,frame00273
Sadness,0.2618218,frame00273
Sexual Desire,0.002190575,frame00273
Surprise,0.0001809002,frame00273
Adoration,0.009590831,frame00281
Aesthetic Appreciation,0.04309392,frame00281
Amusement,0.0001207782,frame00281
Anxiety,8.343687e-05,frame00281
Awe,0.1230699,frame00281
Boredom,0.0112252,frame00281
Confusion,0.001093037,frame00281
Craving,7.72966e-06,frame00281
Disgust,0.01343443,frame00281
Empathic Pain,0.0001052081,frame00281
Entrancement,6.229966e-05,frame00281
Excitement,0.0005628163,frame00281
Fear,0.01328401,frame00281
Horror,0.1382817,frame00281
Interest,0.004584066,frame00281
Joy,0.001788069,frame00281
Romance,0.4030859,frame00281
Sadness,0.2333201,frame00281
Sexual Desire,0.002987026,frame00281
Surprise,0.0002194735,frame00281
Adoration,0.01135427,frame00289
Aesthetic Appreciation,0.02955191,frame00289
Amusement,0.0001020069,frame00289
Anxiety,6.77515e-05,frame00289
Awe,0.1240347,frame00289
Boredom,0.008605985,frame00289
Confusion,0.0008738826,frame00289
Craving,5.207199e-06,frame00289
Disgust,0.01207491,frame00289
Empathic Pain,0.0001091514,frame00289
Entrancement,5.081699e-05,frame00289
Excitement,0.0004674885,frame00289
Fear,0.01411501,frame00289
Horror,0.1418716,frame00289
Interest,0.004186453,frame00289
Joy,0.002467026,frame00289
Romance,0.3930737,frame00289
Sadness,0.2542173,frame00289
Sexual Desire,0.002579291,frame00289
Surprise,0.0001914153,frame00289
Adoration,0.009755459,frame00297
Aesthetic Appreciation,0.03331102,frame00297
Amusement,9.314947e-05,frame00297
Anxiety,7.382692e-05,frame00297
Awe,0.1721523,frame00297
Boredom,0.008898759,frame00297
Confusion,0.0008123328,frame00297
Craving,3.892148e-06,frame00297
Disgust,0.009762619,frame00297
Empathic Pain,0.0001291551,frame00297
Entrancement,6.646822e-05,frame00297
Excitement,0.0003453175,frame00297
Fear,0.01644673,frame00297
Horror,0.1139453,frame00297
Interest,0.003395572,frame00297
Joy,0.002093597,frame00297
Romance,0.3025217,frame00297
Sadness,0.3238735,frame00297
Sexual Desire,0.002141595,frame00297
Surprise,0.0001775663,frame00297
Adoration,0.009443485,frame00305
Aesthetic Appreciation,0.0302929,frame00305
Amusement,8.549356e-05,frame00305
Anxiety,8.746632e-05,frame00305
Awe,0.1759059,frame00305
Boredom,0.008055086,frame00305
Confusion,0.000700434,frame00305
Craving,2.859332e-06,frame00305
Disgust,0.007681011,frame00305
Empathic Pain,0.0001324397,frame00305
Entrancement,6.253614e-05,frame00305
Excitement,0.000339307,frame00305
Fear,0.01600656,frame00305
Horror,0.1287553,frame00305
Interest,0.003316722,frame00305
Joy,0.001711851,frame00305
Romance,0.2393778,frame00305
Sadness,0.3759778,frame00305
Sexual Desire,0.001923968,frame00305
Surprise,0.0001410054,frame00305
Adoration,0.009212442,frame00313
Aesthetic Appreciation,0.03236683,frame00313
Amusement,0.0001053181,frame00313
Anxiety,0.0001085748,frame00313
Awe,0.187585,frame00313
Boredom,0.008005387,frame00313
Confusion,0.0006800728,frame00313
Craving,3.209126e-06,frame00313
Disgust,0.006954978,frame00313
Empathic Pain,0.0001241068,frame00313
Entrancement,7.307379e-05,frame00313
Excitement,0.0003664719,frame00313
Fear,0.01759476,frame00313
Horror,0.1358163,frame00313
Interest,0.003785558,frame00313
Joy,0.001535549,frame00313
Romance,0.2234904,frame00313
Sadness,0.3701152,frame00313
Sexual Desire,0.001947195,frame00313
Surprise,0.0001296617,frame00313
Adoration,0.009110853,frame00321
Aesthetic Appreciation,0.0328837,frame00321
Amusement,0.0001012655,frame00321
Anxiety,0.0001191238,frame00321
Awe,0.1978523,frame00321
Boredom,0.007667183,frame00321
Confusion,0.000704101,frame00321
Craving,3.317126e-06,frame00321
Disgust,0.006870415,frame00321
Empathic Pain,0.0001249116,frame00321
Entrancement,7.533857e-05,frame00321
Excitement,0.0004098609,frame00321
Fear,0.01812634,frame00321
Horror,0.1574105,frame00321
Interest,0.003802667,frame00321
Joy,0.00147192,frame00321
Romance,0.2170939,frame00321
Sadness,0.3443073,frame00321
Sexual Desire,0.001741857,frame00321
Surprise,0.0001232367,frame00321
Adoration,0.006777627,frame00329
Aesthetic Appreciation,0.03114218,frame00329
Amusement,9.085438e-05,frame00329
Anxiety,0.000105233,frame00329
Awe,0.2052419,frame00329
Boredom,0.006280607,frame00329
Confusion,0.0005640241,frame00329
Craving,2.471033e-06,frame00329
Disgust,0.005255785,frame00329
Empathic Pain,0.0001108998,frame00329
Entrancement,6.176457e-05,frame00329
Excitement,0.0003824226,frame00329
Fear,0.01418019,frame00329
Horror,0.1431427,frame00329
Interest,0.002608454,frame00329
Joy,0.0009746951,frame00329
Romance,0.199285,frame00329
Sadness,0.3819854,frame00329
Sexual Desire,0.001698944,frame00329
Surprise,0.0001087254,frame00329
Adoration,0.006724402,frame00337
Aesthetic Appreciation,0.03444182,frame00337
Amusement,0.0001129461,frame00337
Anxiety,0.0001292366,frame00337
Awe,0.2062512,frame00337
Boredom,0.007282627,frame00337
Confusion,0.0006253805,frame00337
Craving,2.888193e-06,frame00337
