EmotionCategory,Probability,FrameID
Horror,0.0006921601,frame00097
Interest,0.0007170897,frame00097
Joy,1.776057e-08,frame00097
Romance,1.934233e-09,frame00097
Sadness,0.01140269,frame00097
Sexual Desire,1.647069e-09,frame00097
Surprise,2.580163e-06,frame00097
Adoration,6.246425e-10,frame00105
Aesthetic Appreciation,0.8912289,frame00105
Amusement,0.0001355273,frame00105
Anxiety,9.976939e-05,frame00105
Awe,0.09863307,frame00105
Boredom,0.000140791,frame00105
Confusion,6.123699e-06,frame00105
Craving,3.094776e-07,frame00105
Disgust,4.35765e-09,frame00105
Empathic Pain,9.145768e-06,frame00105
Entrancement,4.563857e-07,frame00105
Excitement,1.601209e-05,frame00105
Fear,8.656897e-05,frame00105
Horror,0.0003133025,frame00105
Interest,0.0004164035,frame00105
Joy,1.230293e-08,frame00105
Romance,1.522327e-09,frame00105
Sadness,0.008912025,frame00105
Sexual Desire,1.617325e-09,frame00105
Surprise,1.562452e-06,frame00105
Adoration,0.4462754,frame00113
Aesthetic Appreciation,3.649608e-05,frame00113
Amusement,0.004131523,frame00113
Anxiety,0.330281,frame00113
Awe,0.0004405191,frame00113
Boredom,0.0003404073,frame00113
Confusion,3.45982e-06,frame00113
Craving,7.635475e-06,frame00113
Disgust,0.08444548,frame00113
Empathic Pain,6.094677e-08,frame00113
Entrancement,1.17134e-05,frame00113
Excitement,0.0002177691,frame00113
Fear,0.0001543542,frame00113
Horror,0.04567156,frame00113
Interest,0.03704277,frame00113
Joy,0.002836143,frame00113
Romance,1.373275e-05,frame00113
Sadness,0.04760668,frame00113
Sexual Desire,3.584774e-05,frame00113
Surprise,0.0004473718,frame00113
Adoration,0.8421259,frame00121
Aesthetic Appreciation,2.507547e-05,frame00121
Amusement,0.0241697,frame00121
Anxiety,0.007557454,frame00121
Awe,0.0007434006,frame00121
Boredom,0.0001330324,frame00121
Confusion,4.112741e-06,frame00121
Craving,3.189408e-08,frame00121
Disgust,0.0002517535,frame00121
Empathic Pain,2.689412e-05,frame00121
Entrancement,3.992404e-07,frame00121
Excitement,4.469175e-05,frame00121
Fear,3.849199e-05,frame00121
Horror,0.07524965,frame00121
Interest,0.01054924,frame00121
Joy,0.005000467,frame00121
Romance,7.818791e-07,frame00121
Sadness,0.03405481,frame00121
Sexual Desire,5.624289e-07,frame00121
Surprise,2.348502e-05,frame00121
Adoration,0.02614348,frame00129
Aesthetic Appreciation,0.004169255,frame00129
Amusement,0.0008172324,frame00129
Anxiety,0.000846572,frame00129
Awe,0.0005533815,frame00129
Boredom,0.0001994039,frame00129
Confusion,1.308154e-05,frame00129
Craving,0.0006746043,frame00129
Disgust,0.0242162,frame00129
Empathic Pain,8.071854e-06,frame00129
Entrancement,1.071859e-05,frame00129
Excitement,0.0008353624,frame00129
Fear,0.000455049,frame00129
Horror,0.9296432,frame00129
Interest,0.009388064,frame00129
Joy,0.0001780994,frame00129
Romance,7.460494e-05,frame00129
Sadness,0.001277167,frame00129
Sexual Desire,9.942711e-05,frame00129
Surprise,0.0003972035,frame00129
Adoration,0.03141446,frame00137
Aesthetic Appreciation,0.001005571,frame00137
Amusement,0.008285427,frame00137
Anxiety,0.001354915,frame00137
Awe,0.00453512,frame00137
Boredom,0.000706367,frame00137
Confusion,4.27468e-05,frame00137
Craving,0.0001189674,frame00137
Disgust,0.0007682685,frame00137
Empathic Pain,1.179509e-05,frame00137
Entrancement,4.163684e-05,frame00137
Excitement,0.0003290491,frame00137
Fear,0.0007592853,frame00137
Horror,0.7536138,frame00137
Interest,0.0005675071,frame00137
Joy,4.436041e-05,frame00137
Romance,0.002585769,frame00137
Sadness,0.1928169,frame00137
Sexual Desire,0.0004663923,frame00137
Surprise,0.0005316386,frame00137
Adoration,0.0001388261,frame00145
Aesthetic Appreciation,7.495771e-06,frame00145
Amusement,7.806624e-05,frame00145
Anxiety,0.001855435,frame00145
Awe,0.002014834,frame00145
Boredom,2.063189e-05,frame00145
Confusion,5.001357e-06,frame00145
Craving,9.47696e-08,frame00145
Disgust,1.481042e-05,frame00145
Empathic Pain,1.344157e-05,frame00145
Entrancement,2.404472e-06,frame00145
Excitement,4.185506e-06,frame00145
Fear,3.362423e-05,frame00145
Horror,0.9906566,frame00145
Interest,3.406046e-06,frame00145
Joy,3.019508e-05,frame00145
Romance,5.957178e-06,frame00145
Sadness,0.005107667,frame00145
Sexual Desire,1.621178e-06,frame00145
Surprise,5.641284e-06,frame00145
Adoration,1.00361e-05,frame00153
Aesthetic Appreciation,7.65872e-05,frame00153
Amusement,1.183182e-05,frame00153
Anxiety,0.003877729,frame00153
Awe,0.03254989,frame00153
Boredom,0.004164715,frame00153
Confusion,4.582561e-05,frame00153
Craving,1.88428e-06,frame00153
Disgust,6.054416e-09,frame00153
Empathic Pain,4.399522e-05,frame00153
Entrancement,4.243456e-06,frame00153
Excitement,0.0001655044,frame00153
Fear,1.305977e-05,frame00153
Horror,0.9588131,frame00153
Interest,7.724135e-05,frame00153
Joy,3.62931e-05,frame00153
Romance,5.551044e-06,frame00153
Sadness,0.0001002892,frame00153
Sexual Desire,5.364941e-08,frame00153
Surprise,2.174106e-06,frame00153
Adoration,0.0001787164,frame00161
Aesthetic Appreciation,0.0001527284,frame00161
Amusement,2.69274e-05,frame00161
Anxiety,0.3479062,frame00161
Awe,0.1122846,frame00161
Boredom,0.02503697,frame00161
Confusion,0.0003699485,frame00161
Craving,6.706732e-06,frame00161
Disgust,6.755537e-08,frame00161
Empathic Pain,0.0002531766,frame00161
Entrancement,6.581297e-06,frame00161
Excitement,0.0001088271,frame00161
Fear,0.0002509841,frame00161
Horror,0.511377,frame00161
Interest,0.001022335,frame00161
Joy,6.791269e-05,frame00161
Romance,3.997848e-07,frame00161
Sadness,0.0009474456,frame00161
Sexual Desire,2.23204e-08,frame00161
Surprise,2.46514e-06,frame00161
Adoration,0.002295857,frame00169
Aesthetic Appreciation,0.001290708,frame00169
Amusement,8.555232e-05,frame00169
Anxiety,0.09035201,frame00169
Awe,0.1326278,frame00169
Boredom,0.006574794,frame00169
Confusion,0.0007781861,frame00169
Craving,1.633849e-05,frame00169
