"","PID","Condition","CertRate","CertRateVar","Video","SecondEnd"
"X1261","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",269
"X1271","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",271
"X1281","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",273
"X1291","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",275
"X1301","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",277
"X1311","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",279
"X1321","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",281
"X1331","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",283
"X1341","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",285
"X1351","SR-0208","A",-10,0,"StimVidTestFirstHalf_comp.mp4",287
"X1361","SR-0208","A",-15.0416666666667,14.4940476190476,"StimVidTestFirstHalf_comp.mp4",289
"X1371","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",291
"X1381","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",293
"X1391","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",295
"X1401","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",297
"X1411","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",299
"X1421","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",301
"X1431","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",303
"X1441","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",305
"X1451","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",307
"X1461","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",309
"X1471","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",311
"X1481","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",313
"X1491","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",315
"X1501","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",317
"X1511","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",319
"X1521","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",321
"X1531","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",323
"X1541","SR-0208","A",-20,0,"StimVidTestFirstHalf_comp.mp4",325
"X1551","SR-0208","A",-22.625,6.28676470588235,"StimVidTestFirstHalf_comp.mp4",327
"X1561","SR-0208","A",-25,0,"StimVidTestFirstHalf_comp.mp4",329
"X1571","SR-0208","A",-25,0,"StimVidTestFirstHalf_comp.mp4",331
"X1581","SR-0208","A",-29.5833333333333,1.92577030812325,"StimVidTestFirstHalf_comp.mp4",333
"X1591","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",335
"X1601","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",337
"X1611","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",339
"X1621","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",341
"X1631","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",343
"X1641","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",345
"X1651","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",347
"X1661","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",349
"X1671","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",351
"X1681","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",353
"X1691","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",355
"X1701","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",357
"X1711","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",359
"X1721","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",361
"X1731","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",363
"X1741","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",365
"X1751","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",367
"X1761","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",369
"X1771","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",371
"X1781","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",373
"X1791","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",375
"X1801","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",377
"X1811","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",379
"X1821","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",381
"X1831","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",383
"X1841","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",385
"X1851","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",387
"X1861","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",389
"X1871","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",391
"X1881","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",393
"X1891","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",395
"X1901","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",397
"X1911","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",399
"X1921","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",401
"X1931","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",403
"X1941","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",405
"X1951","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",407
"X1961","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",409
"X1971","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",411
"X1981","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",413
"X1991","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",415
"X2001","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",417
"X2011","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",419
"X2021","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",421
"X2031","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",423
"X2041","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",425
"X2051","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",427
"X2061","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",429
"X2071","SR-0208","A",-30,0,"StimVidTestFirstHalf_comp.mp4",431
