"","var1","var2","value"
"193","SR-6269","SR-1371",-0.219489361243692
"194","SR-6773","SR-1371",0.159132829350655
"195","SR-6799","SR-1371",-0.00561565559021008
"196","SR-6971","SR-1371",-0.0309080314313945
"197","SR-6977","SR-1371",-0.216309702555271
"198","SR-7255","SR-1371",-0.00989538041860457
"199","SR-7492","SR-1371",-0.132162799336585
"200","SR-7758","SR-1371",0.382857666302148
"201","SR-8607","SR-1371",-0.168353855906716
"202","SR-8621","SR-1371",-0.00610241249043568
"203","SR-8746","SR-1371",-0.0701719286425062
"204","SR-8929","SR-1371",-0.153078062353877
"205","SR-9436","SR-1371",-0.243238692446827
"206","SR-9827","SR-1371",-0.0807552207199177
"207","SR-9907","SR-1371",-0.0417113619972509
"208","SR-2610","SR-2579",0.341861061854811
"209","SR-2758","SR-2579",-0.098407100769471
"210","SR-3011","SR-2579",0.564085869265507
"211","SR-30461","SR-2579",-0.338420375154575
"212","SR-3274","SR-2579",-0.767277608169747
"213","SR-3801","SR-2579",0.128792635007656
"214","SR-3951","SR-2579",0.082368782561271
"215","SR-3952","SR-2579",0.106289655786172
"216","SR-3981","SR-2579",0.198065076084382
"217","SR-4407","SR-2579",-0.0293469134831437
"218","SR-4590","SR-2579",-0.157654140711335
"219","SR-4781","SR-2579",0.250587378279555
"220","SR-5006","SR-2579",0.0532466928347579
"221","SR-5849","SR-2579",0.272767737385437
"222","SR-6021","SR-2579",0.128251911552114
"223","SR-6215","SR-2579",-0.209382120185101
"224","SR-6269","SR-2579",0.185238518494809
"225","SR-6773","SR-2579",-0.065417172067998
"226","SR-6799","SR-2579",0.0138640405195688
"227","SR-6971","SR-2579",0.0424156081881364
"228","SR-6977","SR-2579",0.252474396885233
"229","SR-7255","SR-2579",0.00172005274923637
"230","SR-7492","SR-2579",0.114757157798217
"231","SR-7758","SR-2579",-0.393501370022762
"232","SR-8607","SR-2579",0.160408095069931
"233","SR-8621","SR-2579",-0.00688197123594381
"234","SR-8746","SR-2579",0.107707479030319
"235","SR-8929","SR-2579",0.131510468710399
"236","SR-9436","SR-2579",0.228975537319325
"237","SR-9827","SR-2579",0.0980731519770411
"238","SR-9907","SR-2579",-0.00160539203948046
"239","SR-2758","SR-2610",-0.049904184242371
"240","SR-3011","SR-2610",0.434614614198437
"241","SR-30461","SR-2610",0.0774742862670952
"242","SR-3274","SR-2610",-0.458610644903489
"243","SR-3801","SR-2610",0.323780077985002
"244","SR-3951","SR-2610",0.317434452162149
"245","SR-3952","SR-2610",0.23139587462612
"246","SR-3981","SR-2610",0.127489098934974
"247","SR-4407","SR-2610",0.496387187563544
"248","SR-4590","SR-2610",-0.00348588577793402
"249","SR-4781","SR-2610",0.182837850271178
"250","SR-5006","SR-2610",0.00503084807915208
"251","SR-5849","SR-2610",0.334615719836134
"252","SR-6021","SR-2610",0.429037584926017
"253","SR-6215","SR-2610",0.212225551423806
"254","SR-6269","SR-2610",0.562214145650305
"255","SR-6773","SR-2610",0.166605183420972
"256","SR-6799","SR-2610",0.146612446342234
"257","SR-6971","SR-2610",0.131228642940876
"258","SR-6977","SR-2610",0.1926116284278
"259","SR-7255","SR-2610",0.248128804966427
"260","SR-7492","SR-2610",0.189706102389183
"261","SR-7758","SR-2610",-0.0019534637935341
"262","SR-8607","SR-2610",0.282626182547826
"263","SR-8621","SR-2610",0.392782448956223
"264","SR-8746","SR-2610",0.229631587516974
"265","SR-8929","SR-2610",0.135421244405565
"266","SR-9436","SR-2610",0.161186021597421
"267","SR-9827","SR-2610",0.164465006656481
"268","SR-9907","SR-2610",0.133546742515972
"269","SR-3011","SR-2758",0.111809085930125
"270","SR-30461","SR-2758",0.432108498090269
"271","SR-3274","SR-2758",-0.0864375517381677
"272","SR-3801","SR-2758",0.69431202826044
"273","SR-3951","SR-2758",0.815090596778185
"274","SR-3952","SR-2758",0.73911000826082
"275","SR-3981","SR-2758",0.736299236402074
"276","SR-4407","SR-2758",0.364647469540302
"277","SR-4590","SR-2758",0.239408240880858
"278","SR-4781","SR-2758",0.659783821587234
"279","SR-5006","SR-2758",0.168443522498934
"280","SR-5849","SR-2758",0.471470491825425
"281","SR-6021","SR-2758",0.567361483304043
"282","SR-6215","SR-2758",0.778573255601269
"283","SR-6269","SR-2758",0.505452593336914
"284","SR-6773","SR-2758",-0.27566885843304
"285","SR-6799","SR-2758",0.207032942744153
"286","SR-6971","SR-2758",0.741664744633961
"287","SR-6977","SR-2758",0.251530776756568
"288","SR-7255","SR-2758",0.643845456511444
"289","SR-7492","SR-2758",0.670366232866609
"290","SR-7758","SR-2758",0.735149816575459
"291","SR-8607","SR-2758",0.764289761205463
"292","SR-8621","SR-2758",0.717593344253248
"293","SR-8746","SR-2758",0.255413501355994
"294","SR-8929","SR-2758",0.799860651443056
"295","SR-9436","SR-2758",0.440079721880286
"296","SR-9827","SR-2758",0.877058252073808
"297","SR-9907","SR-2758",0.781903437079132
"298","SR-30461","SR-3011",0.0498892561068167
"299","SR-3274","SR-3011",-0.707345908343215
"300","SR-3801","SR-3011",0.497855329538735
"301","SR-3951","SR-3011",0.390473360517789
"302","SR-3952","SR-3011",0.176452446331107
"303","SR-3981","SR-3011",0.151514978907788
"304","SR-4407","SR-3011",0.628473608806492
"305","SR-4590","SR-3011",0.050334540987177
"306","SR-4781","SR-3011",0.378966608010279
"307","SR-5006","SR-3011",0.146622114218141
"308","SR-5849","SR-3011",0.738849534416627
"309","SR-6021","SR-3011",0.590799775760457
"310","SR-6215","SR-3011",0.254235912734803
"311","SR-6269","SR-3011",0.652747441658215
"312","SR-6773","SR-3011",-0.229389610543255
"313","SR-6799","SR-3011",0.192719056476908
"314","SR-6971","SR-3011",0.355960615135726
"315","SR-6977","SR-3011",0.331946788432965
"316","SR-7255","SR-3011",0.254952807119852
"317","SR-7492","SR-3011",0.438532968125082
"318","SR-7758","SR-3011",-0.0748966813211387
"319","SR-8607","SR-3011",0.378033217964887
"320","SR-8621","SR-3011",0.375461926104875
"321","SR-8746","SR-3011",0.296383608774988
"322","SR-8929","SR-3011",0.419073428057938
"323","SR-9436","SR-3011",0.383253250566688
"324","SR-9827","SR-3011",0.296227276647546
"325","SR-9907","SR-3011",0.349501893744444
"326","SR-3274","SR-30461",0.123628328761765
"327","SR-3801","SR-30461",0.33525500640913
"328","SR-3951","SR-30461",0.549584859960845
"329","SR-3952","SR-30461",0.251471600502415
"330","SR-3981","SR-30461",0.155864074600741
"331","SR-4407","SR-30461",0.494695389306712
"332","SR-4590","SR-30461",0.093392130769869
"333","SR-4781","SR-30461",0.357652376094555
"334","SR-5006","SR-30461",0.0776246190990811
"335","SR-5849","SR-30461",0.369258116968255
"336","SR-6021","SR-30461",0.329923319685494
"337","SR-6215","SR-30461",0.46240944018198
"338","SR-6269","SR-30461",0.416896161267985
"339","SR-6773","SR-30461",-0.143910437823701
"340","SR-6799","SR-30461",0.0575238421339519
"341","SR-6971","SR-30461",0.374860327985677
"342","SR-6977","SR-30461",0.04268689932689
"343","SR-7255","SR-30461",0.330166366544173
"344","SR-7492","SR-30461",0.196472927570943
"345","SR-7758","SR-30461",0.42773382414013
"346","SR-8607","SR-30461",0.366122548797374
"347","SR-8621","SR-30461",0.300584061655118
"348","SR-8746","SR-30461",0.0461574912887831
"349","SR-8929","SR-30461",0.386519936547819
"350","SR-9436","SR-30461",0.485200082051724
"351","SR-9827","SR-30461",0.362640480462869
"352","SR-9907","SR-30461",0.380544311146129
"353","SR-3801","SR-3274",-0.397722524552215
"354","SR-3951","SR-3274",-0.343871251010345
"355","SR-3952","SR-3274",-0.128062679803793
"356","SR-3981","SR-3274",-0.334373574097569
"357","SR-4407","SR-3274",-0.339848048516874
"358","SR-4590","SR-3274",-0.0367668174794249
"359","SR-4781","SR-3274",-0.44142605622772
"360","SR-5006","SR-3274",-0.101941131440058
"361","SR-5849","SR-3274",-0.413598034293795
"362","SR-6021","SR-3274",-0.367075175805587
"363","SR-6215","SR-3274",-0.09167600762127
"364","SR-6269","SR-3274",-0.549720980253332
"365","SR-6773","SR-3274",0.153333840710708
"366","SR-6799","SR-3274",-0.171478089406371
"367","SR-6971","SR-3274",-0.199115972503616
"368","SR-6977","SR-3274",-0.261101143179117
"369","SR-7255","SR-3274",-0.0319497543442647
"370","SR-7492","SR-3274",-0.185369163358522
"371","SR-7758","SR-3274",0.195703120874136
"372","SR-8607","SR-3274",-0.328589066689469
"373","SR-8621","SR-3274",-0.219264985307013
"374","SR-8746","SR-3274",-0.151371382128733
"375","SR-8929","SR-3274",-0.337750195996116
"376","SR-9436","SR-3274",-0.358809872460907
"377","SR-9827","SR-3274",-0.25310724554222
"378","SR-9907","SR-3274",-0.209248068420904
"379","SR-3951","SR-3801",0.749228656683998
"380","SR-3952","SR-3801",0.6277561150676
"381","SR-3981","SR-3801",0.633176730984486
"382","SR-4407","SR-3801",0.626279350649732
"383","SR-4590","SR-3801",0.194707954485214
"384","SR-4781","SR-3801",0.497672225905755
"385","SR-5006","SR-3801",0.15660353063875
"386","SR-5849","SR-3801",0.59065401097452
"387","SR-6021","SR-3801",0.79264402079296
"388","SR-6215","SR-3801",0.668104612852001
"389","SR-6269","SR-3801",0.726441372512472
"390","SR-6773","SR-3801",-0.360013106454121
"391","SR-6799","SR-3801",0.208916537351092
"392","SR-6971","SR-3801",0.759605235207233
"393","SR-6977","SR-3801",0.288880158308893
"394","SR-7255","SR-3801",0.658783485198697
"395","SR-7492","SR-3801",0.764903789725887
"396","SR-7758","SR-3801",0.447760048162624
"397","SR-8607","SR-3801",0.775669811848823
"398","SR-8621","SR-3801",0.720075785172451
"399","SR-8746","SR-3801",0.353152172259786
"400","SR-8929","SR-3801",0.653445057957144
"401","SR-9436","SR-3801",0.514535861152772
"402","SR-9827","SR-3801",0.749403020137931
"403","SR-9907","SR-3801",0.685906267269896
"404","SR-3952","SR-3951",0.630885330390155
"405","SR-3981","SR-3951",0.662284890026834
"406","SR-4407","SR-3951",0.617043529404372
"407","SR-4590","SR-3951",0.25670807869624
"408","SR-4781","SR-3951",0.734296533584026
"409","SR-5006","SR-3951",0.209072777070862
"410","SR-5849","SR-3951",0.691272372685548
"411","SR-6021","SR-3951",0.720639416083315
"412","SR-6215","SR-3951",0.822955488416112
"413","SR-6269","SR-3951",0.776339686039382
"414","SR-6773","SR-3951",-0.167134301816347
"415","SR-6799","SR-3951",0.323971453848748
"416","SR-6971","SR-3951",0.716233559784515
"417","SR-6977","SR-3951",0.347581025796761
"418","SR-7255","SR-3951",0.614758552979527
"419","SR-7492","SR-3951",0.604083106539607
"420","SR-7758","SR-3951",0.616478963703028
"421","SR-8607","SR-3951",0.788043489054008
"422","SR-8621","SR-3951",0.776666154882098
"423","SR-8746","SR-3951",0.30485980595945
"424","SR-8929","SR-3951",0.813169779389531
"425","SR-9436","SR-3951",0.681529841296016
"426","SR-9827","SR-3951",0.873881402283263
"427","SR-9907","SR-3951",0.822438635110269
"428","SR-3981","SR-3952",0.57077225331665
"429","SR-4407","SR-3952",0.348752034802807
"430","SR-4590","SR-3952",0.131727042770218
"431","SR-4781","SR-3952",0.467851966706909
"432","SR-5006","SR-3952",0.214519351430909
"433","SR-5849","SR-3952",0.380025062006351
"434","SR-6021","SR-3952",0.628247025514407
"435","SR-6215","SR-3952",0.569615404221803
"436","SR-6269","SR-3952",0.460228629988903
"437","SR-6773","SR-3952",-0.335183189394803
"438","SR-6799","SR-3952",0.240894133214447
"439","SR-6971","SR-3952",0.666739583058353
"440","SR-6977","SR-3952",0.291082146163338
"441","SR-7255","SR-3952",0.702292527795317
"442","SR-7492","SR-3952",0.680131632006029
"443","SR-7758","SR-3952",0.629775774310369
"444","SR-8607","SR-3952",0.699632097160199
"445","SR-8621","SR-3952",0.698559716837423
"446","SR-8746","SR-3952",0.343356880760411
"447","SR-8929","SR-3952",0.620559918371716
"448","SR-9436","SR-3952",0.31324673653214
"449","SR-9827","SR-3952",0.770511038743807
"450","SR-9907","SR-3952",0.615693845565719
"451","SR-4407","SR-3981",0.174756489347874
"452","SR-4590","SR-3981",0.266108355475277
"453","SR-4781","SR-3981",0.614896477905595
"454","SR-5006","SR-3981",0.155019787792283
"455","SR-5849","SR-3981",0.2140894286513
"456","SR-6021","SR-3981",0.457658556909131
"457","SR-6215","SR-3981",0.500913602636195
"458","SR-6269","SR-3981",0.525550668906638
"459","SR-6773","SR-3981",-0.119469398142758
"460","SR-6799","SR-3981",0.154180184308757
