,PID,Condition,CertRate,CertRateVar,Video,SecondEnd
X132,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,281
X133,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,283
X134,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,285
X135,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,287
X136,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,289
X137,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,291
X138,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,293
X139,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,295
X140,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,297
X141,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,299
X142,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,301
X143,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,303
X144,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,305
X145,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,307
X146,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,309
X147,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,311
X148,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,313
X149,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,315
X150,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,317
X151,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,319
X152,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,321
X153,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,323
X154,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,325
X155,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,327
X156,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,329
X157,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,331
X158,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,333
X159,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,335
X160,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,337
X161,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,339
X162,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,341
X163,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,343
X164,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,345
X165,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,347
X166,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,349
X167,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,351
X168,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,353
X169,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,355
X170,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,357
X171,SR-0035,B,0,0,StimVidTestLastHalf_comp.mp4,359
